,STATE,ALL_VAL_YR,E_COMMODITY,E_COMMODITY_LDESC,E_COMMODITY,YEAR,MONTH
0,-,776505661,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
1,CA,2848717,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
2,CO,14413,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
3,FL,551299,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
4,GA,18944205,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
5,IA,42697893,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
6,IL,76898147,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
7,IN,14240493,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
8,KS,13523706,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
9,KY,4389298,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
10,LA,27413516,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
11,ME,4191,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
12,MI,1298502,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
13,MN,38757575,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
14,MO,8489555,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
15,MS,728093,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
16,NC,109750,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
17,ND,553817,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
18,NE,219506,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
19,NJ,73655,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
20,NV,1068946,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
21,NY,2879350,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
22,OH,6792787,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
23,PA,3787,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
24,PR,17250,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
25,SC,6354390,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
26,SD,10566126,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
27,TN,735150,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
28,TX,161854,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
29,VA,23831889,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
30,VT,210786,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
31,WA,466453812,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
32,WI,5555251,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
33,XX,117952,120810,FLOURS AND MEALS OF SOYBEANS,120810,2016,12
